transcript_link,youtube_link,date
/et/202412191000,https://www.youtube.com/watch?v=lwF-qiud-i0,2024-12-19 10:00:00
/et/202412181400,https://www.youtube.com/watch?v=-nWG420HIxo,2024-12-18 14:00:00
/et/202412181200,https://www.youtube.com/watch?v=-nWG420HIxo,2024-12-18 12:00:00
/et/202412181400,https://www.youtube.com/watch?v=YNw-yDaKTjk,2024-12-18 14:00:00
/et/202412181200,https://www.youtube.com/watch?v=YNw-yDaKTjk,2024-12-18 12:00:00
/et/202411211000,https://www.youtube.com/watch?v=wGHUI7APtqM,2024-11-21 10:00:00
/et/202411201400,https://www.youtube.com/watch?v=onN7KCTCtbg,2024-11-20 14:00:00
/et/202411201200,https://www.youtube.com/watch?v=onN7KCTCtbg,2024-11-20 12:00:00
/et/202411201400,https://www.youtube.com/watch?v=NShXX_Q4okE,2024-11-20 14:00:00
/et/202411201200,https://www.youtube.com/watch?v=NShXX_Q4okE,2024-11-20 12:00:00
/et/202411191000,https://www.youtube.com/watch?v=U09NFJINsB0,2024-11-19 10:00:00
/et/202411141000,https://www.youtube.com/watch?v=ZpmjjTHRZzw,2024-11-14 10:00:00
/et/202411131400,https://www.youtube.com/watch?v=M4_zbfHrZxw,2024-11-13 14:00:00
/et/202411131400,https://www.youtube.com/watch?v=M4_zbfHrZxw,2024-11-13 14:00:00
/et/202411131200,https://www.youtube.com/watch?v=M4_zbfHrZxw,2024-11-13 12:00:00
/et/202411131400,https://www.youtube.com/watch?v=pg1WWgZb1HU,2024-11-13 14:00:00
/et/202411131400,https://www.youtube.com/watch?v=pg1WWgZb1HU,2024-11-13 14:00:00
/et/202411131200,https://www.youtube.com/watch?v=pg1WWgZb1HU,2024-11-13 12:00:00
/et/202411121000,https://www.youtube.com/watch?v=i3nNVq8PMA8,2024-11-12 10:00:00
/et/202411111500,https://www.youtube.com/watch?v=qfJLsKcgigk,2024-11-11 15:00:00
/et/202411071000,https://www.youtube.com/watch?v=BWjK18K6Iv8,2024-11-07 10:00:00
/et/202411061400,https://www.youtube.com/watch?v=BEv9yCt8170,2024-11-06 14:00:00
/et/202411061200,https://www.youtube.com/watch?v=BEv9yCt8170,2024-11-06 12:00:00
/et/202411061400,https://www.youtube.com/watch?v=e-q4ifiXKSo,2024-11-06 14:00:00
/et/202411061200,https://www.youtube.com/watch?v=e-q4ifiXKSo,2024-11-06 12:00:00
/et/202411051000,https://www.youtube.com/watch?v=Y2ZyObo_atM,2024-11-05 10:00:00
/et/202411041500,https://www.youtube.com/watch?v=pSU8OGCBhlQ,2024-11-04 15:00:00
/et/202410241000,https://www.youtube.com/watch?v=bKLho2-NIgM,2024-10-24 10:00:00
/et/202410231400,https://www.youtube.com/watch?v=nM-yrUmswkY,2024-10-23 14:00:00
/et/202410231200,https://www.youtube.com/watch?v=nM-yrUmswkY,2024-10-23 12:00:00
/et/202410231400,https://www.youtube.com/watch?v=wG3rDRBJKSs,2024-10-23 14:00:00
/et/202410231200,https://www.youtube.com/watch?v=wG3rDRBJKSs,2024-10-23 12:00:00
